Rk,Player,Pos,Tm,Cap Hit
,Malcolm Jenkins\JenkMa99,DB,PHI,$6000000
,LeSean McCoy\McCoLe01,RB,BUF,$6000000
,Joe Flacco\FlacJo00,QB,BAL,$6000000
,Kawann Short\ShorKa00,DT,CAR,$6000000
,Derrick Morgan\MorgDe99,DE,TEN,$6000000
,Buster Skrine\SkriBu00,DB,NYJ,$6000000
,Kevin Zeitler\ZeitKe00,G,CLE,$6000000
118,Donald Penn\PennDo20,T,OAK,$5800000
,Coby Fleener\FleeCo00,TE,NOR,$5800000
,K.J. Wright\WrigK.00,LB,SEA,$5800000
121,Doug Martin\MartDo00,RB,TAM,$5764706
122,Alex Mack\MackAl20,C,ATL,$5750000
,Tamba Hali\HaliTa20,DE,KAN,$5750000
124,Eric Reid\ReidEr00,FS,SFO,$5676000
,Kenny Vaccaro\VaccKe00,FS,NOR,$5676000
126,Haloti Ngata\NgatHa20,DT,DET,$5500000
,Lamar Miller\MillLa01,RB,HOU,$5500000
,Julius Thomas\ThomJu00,TE,MIA,$5500000
,Derek Wolfe\WolfDe00,DT,DEN,$5500000
,Brandon Linder\LindBr00,OG,JAX,$5500000
131,Jerry Hughes\HughJe99,DE,BUF,$5400000
,Bryan Bulaga\BulaBr20,T,GNB,$5400000
133,Carlos Dunlap\DunlCa99,DE,CIN,$5350000
134,Gabe Jackson\JackGa00,OG,OAK,$5250000
,Travis Benjamin\BenjTr00,WR,LAC,$5250000
,Andy Levitre\LeviAn20,G,ATL,$5250000
137,Kyle Rudolph\RudoKy00,TE,MIN,$5150000
,Harrison Smith\SmitHa00,FS,MIN,$5150000
139,Mike Mitchell\MitcMi99,DB,PIT,$5000000
,Logan Ryan\RyanLo00,CB,TEN,$5000000
,Sean Smith\SmitSe99,DB,OAK,$5000000
,Melvin Ingram\IngrMe00,DE,LAC,$5000000
,Derek Carr\CarrDe02,QB,OAK,$5000000
,Jay Cutler\CutlJa00,QB,MIA,$5000000
,Tashaun Gipson\GipsTa00,DB,JAX,$5000000
,Mark Barron\BarrMa00,LB,LAR,$5000000
,Brandon Brooks\BrooBr00,G,PHI,$5000000
,Jason Kelce\KelcJa00,OL,PHI,$5000000
,Rishard Matthews\MattRi00,WR,TEN,$5000000
,Barry Church\ChurBa99,DB,JAX,$5000000
151,Mitchell Schwartz\SchwMi00,T,KAN,$4900000
152,Mychal Kendricks\KendMy00,ILB,PHI,$4850000
153,Rodger Saffold\SaffRo20,T,LAR,$4847233
154,Tyler Eifert\EifeTy00,TE,CIN,$4782000
155,Jeff Allen\AlleJe01,T,HOU,$4750000
,Jamie Collins\CollJa00,OLB,CLE,$4750000
,Morgan Burnett\BurnMo99,DB,GNB,$4750000
,Tyrann Mathieu\MathTy00,CB,ARI,$4750000
,Mike Wallace\WallMi00,WR,BAL,$4750000
160,Josh Sitton\SittJo20,G,CHI,$4650000
161,Cliff Avril\AvriCl99,DE,SEA,$4500000
,Chris Ivory\IvorCh00,RB,JAX,$4500000
,Bruce Irvin\IrviBr00,DE,OAK,$4500000
,Antonio Gates\GateAn00,TE,LAC,$4500000
,Whitney Mercilus\MercWh00,DE,HOU,$4500000
,Stephon Gilmore\GilmSt00,CB,NWE,$4500000
,Joe Barksdale\BarkJo00,OL,LAC,$4500000
,Charles Clay\ClayCh00,TE,BUF,$4500000
169,James Carpenter\CarpJa00,OL,NYJ,$4450000
170,Demar Dotson\DotsDe00,T,TAM,$4250000
,Rob Gronkowski\GronRo00,TE,NWE,$4250000
172,Terron Armstead\ArmsTe00,OT,NOR,$4200000
,Bobby Massie\MassBo00,T,CHI,$4200000
,Delanie Walker\WalkHu00,TE,TEN,$4200000
175,Brooks Reed\ReedBr00,DL,ATL,$4100000
,Darius Slay\SlayDa00,CB,DET,$4100000
177,Clint Boling\BoliCl00,OL,CIN,$4050000
,Dustin Colquitt\ColqDu20,P,KAN,$4050000
179,Bobby Wagner\WagnBo00,ILB,SEA,$4000000
,Shawn Lauvao\LauvSh20,G,WAS,$4000000
,Matt Forte\FortMa00,RB,NYJ,$4000000
,Eric Weddle\WeddEr99,DB,BAL,$4000000
,Torrey Smith\SmitTo02,WR,PHI,$4000000
,Kenny Britt\BritKe00,WR,2TM,$4000000
,Jeremy Lane\LaneJe00,CB,SEA,$4000000
,George Iloka\IlokGe00,FS,CIN,$4000000
,Terrell Suggs\SuggTe99,LB-DE,BAL,$4000000
,Marcedes Lewis\LewiMa00,TE,JAX,$4000000
,Marcus Gilbert\GilbMa00,OL,PIT,$4000000
,Nigel Bradham\BradNi00,OLB,PHI,$4000000
,Robert Ayers\AyerRo99,DE,TAM,$4000000
,Darren Sproles\SproDa00,RB,PHI,$4000000
193,Paul Posluszny\PoluPa99,LB,JAX,$3950000
194,Malcolm Butler\ButlMa01,CB,NWE,$3910000
195,Brian Robison\RobiBr98,DE,MIN,$3900000
,Ron Parker\ParkRo01,CB,KAN,$3900000
,Allen Bailey\BailAl00,DL,KAN,$3900000
198,Christian Kirksey\KirkCh00,OLB,CLE,$3797000
199,J.R. Sweezy\SweeJ.00,G,TAM,$3750000
,Jerrell Freeman\FreeJe00,LB,CHI,$3750000
,Adrian Clayborn\ClayAd00,DL,ATL,$3750000
,Jordan Reed\ReedJo02,TE,WAS,$3750000
,Bilal Powell\PoweBi00,RB,NYJ,$3750000
204,Pierre Garcon\GarcPi00,WR,SFO,$3675000
205,Michael Johnson\JohnMi98,DE,CIN,$3550000
206,Ben Jones\JoneBe01,C,TEN,$3500000
,Cole Beasley\BeasCo00,WR,DAL,$3500000
,Tavon Austin\AustTa00,WR,LAR,$3500000
,Prince Amukamara\AmukPr00,CB,CHI,$3500000
,Frank Gore\GoreFr00,RB,IND,$3500000
211,Brandon Mebane\MebaBr99,DT,LAC,$3350000
212,Greg Robinson\RobiGr01,OT,DET,$3322377
