Id,Id2,Geography,HousingUnits
1600000US2709280,2709280,"Callaway city, Minnesota",77
1600000US2709316,2709316,"Calumet city, Minnesota",178
1600000US2709370,2709370,"Cambridge city, Minnesota",2373
1600000US2709496,2709496,"Campbell city, Minnesota",110
1600000US2709604,2709604,"Canby city, Minnesota",918
1600000US2709730,2709730,"Cannon Falls city, Minnesota",1611
1600000US2709802,2709802,"Canton city, Minnesota",171
1600000US2709964,2709964,"Carlos city, Minnesota",153
1600000US2710018,2710018,"Carlton city, Minnesota",325
1600000US2710144,2710144,"Carver city, Minnesota",467
1600000US2710252,2710252,"Cass Lake city, Minnesota",384
1600000US2710468,2710468,"Cedar Mills city, Minnesota",27
1600000US2710576,2710576,"Center City city, Minnesota",214
1600000US2710648,2710648,"Centerville city, Minnesota",1094
1600000US2710792,2710792,"Ceylon city, Minnesota",189
1600000US2710846,2710846,"Champlin city, Minnesota",7514
1600000US2710900,2710900,"Chandler city, Minnesota",121
1600000US2710918,2710918,"Chanhassen city, Minnesota",7013
1600000US2710972,2710972,"Chaska city, Minnesota",6235
1600000US2711008,2711008,"Chatfield city, Minnesota",959
1600000US2711296,2711296,"Chickamaw Beach city, Minnesota",110
1600000US2711350,2711350,"Chisago City city, Minnesota",1107
1600000US2711386,2711386,"Chisholm city, Minnesota",2375
1600000US2711440,2711440,"Chokio city, Minnesota",239
1600000US2711494,2711494,"Circle Pines city, Minnesota",1708
1600000US2711548,2711548,"Clara City city, Minnesota",629
1600000US2711566,2711566,"Claremont city, Minnesota",249
1600000US2711602,2711602,"Clarissa city, Minnesota",292
1600000US2711656,2711656,"Clarkfield city, Minnesota",429
1600000US2711674,2711674,"Clarks Grove city, Minnesota",296
1600000US2711746,2711746,"Clearbrook city, Minnesota",259
1600000US2711764,2711764,"Clear Lake city, Minnesota",103
1600000US2711800,2711800,"Clearwater city, Minnesota",355
1600000US2711836,2711836,"Clements city, Minnesota",81
1600000US2711872,2711872,"Cleveland city, Minnesota",259
1600000US2711962,2711962,"Climax city, Minnesota",124
1600000US2711980,2711980,"Clinton city, Minnesota",230
1600000US2712088,2712088,"Clitherall city, Minnesota",62
1600000US2712124,2712124,"Clontarf city, Minnesota",65
1600000US2712160,2712160,"Cloquet city, Minnesota",4805
1600000US2712376,2712376,"Coates city, Minnesota",66
1600000US2712394,2712394,"Cobden city, Minnesota",29
1600000US2712412,2712412,"Cohasset city, Minnesota",1191
1600000US2712430,2712430,"Cokato city, Minnesota",1035
1600000US2712484,2712484,"Cold Spring city, Minnesota",1145
1600000US2712502,2712502,"Coleraine city, Minnesota",462
1600000US2712664,2712664,"Cologne city, Minnesota",392
1600000US2712700,2712700,"Columbia Heights city, Minnesota",8151
1600000US2712772,2712772,"Comfrey city, Minnesota",171
1600000US2712862,2712862,"Comstock city, Minnesota",49
1600000US2712952,2712952,"Conger city, Minnesota",62
1600000US2713006,2713006,"Cook city, Minnesota",302
1600000US2713114,2713114,"Coon Rapids city, Minnesota",22828
1600000US2713168,2713168,"Corcoran city, Minnesota",1804
1600000US2713384,2713384,"Correll city, Minnesota",30
1600000US2713420,2713420,"Cosmos city, Minnesota",261
1600000US2713456,2713456,"Cottage Grove city, Minnesota",10024
1600000US2713564,2713564,"Cottonwood city, Minnesota",481
1600000US2713582,2713582,"Courtland city, Minnesota",190
1600000US2713780,2713780,"Cromwell city, Minnesota",94
1600000US2713870,2713870,"Crookston city, Minnesota",3382
1600000US2713924,2713924,"Crosby city, Minnesota",1081
1600000US2713978,2713978,"Crosslake city, Minnesota",2477
1600000US2714158,2714158,"Crystal city, Minnesota",9481
1600000US2714320,2714320,"Currie city, Minnesota",127
1600000US2714428,2714428,"Cuyuna city, Minnesota",113
1600000US2714446,2714446,"Cyrus city, Minnesota",164
1600000US2714518,2714518,"Dakota city, Minnesota",145
1600000US2714626,2714626,"Dalton city, Minnesota",119
1600000US2714716,2714716,"Danube city, Minnesota",223
1600000US2714734,2714734,"Danvers city, Minnesota",47
1600000US2714770,2714770,"Darfur city, Minnesota",59
1600000US2714842,2714842,"Darwin city, Minnesota",130
1600000US2714878,2714878,"Dassel city, Minnesota",551
1600000US2714968,2714968,"Dawson city, Minnesota",756
1600000US2715022,2715022,"Dayton city, Minnesota",1566
1600000US2715148,2715148,"Deephaven city, Minnesota",1409
1600000US2715184,2715184,"Deer Creek city, Minnesota",163
1600000US2715310,2715310,"Deer River city, Minnesota",415
1600000US2715346,2715346,"Deerwood city, Minnesota",309
