CASE,DATE,TIME,COUNTY,AREA,WOUND,INJURY,TYPE,CAUSE,SAGE,VAGE,FIREARM,FACTION,ALCOHOL,ALCOLEV,WEATHER,TOPOGRO,SEXPER,VEXPER,SGRADUATE,VGRADUATE,SSEX,VSEX,GUNBRND,GUNGUAGE,TEMP,MUZDIS,LAND,VORANGE,GUNSIGHT,VACTIVTY,LOCATION,PRECIP
26,11/24/1987,1235,Green Lake,south,head,fatal,,bullet went thru home,25,2,rifle,slide,,,cloudy,swamp,9,0,yes,no,m,m,Remington,30-06,26,300,pri,0,scope,in home,home,
27,11/24/1987,1410,Dodge,south,foot,major,si,careless handling,49,49,shotgun,slide,,,cloudy,level,18,18,no,no,m,m,Ithaca,12 gauge,41,3,pub,2,open,stalking,field,
28,11/24/1987,1630,Adams,south,leg,major,si,"firearm fell, insecure rest",66,66,rifle,sauto,,,cloudy,rolling,30,30,no,no,m,m,Remington,30-06,33,3,pub,2,scope,tree stand,woods,
29,11/25/1987,1045,Bayfield,north,chest,major,si,victim stumbled and fell,15,15,rifle,bolt,,,cloudy,rolling,2,2,yes,yes,m,m,Savage,30-30,35,3,pub,3,open,driver,woods,
30,11/25/1987,1400,Juneau,south,leg,major,sp,unloading firearm,17,38,rifle,bolt,,,cloudy,level,5,22,yes,no,f,m,Savage,30-30,35,10,pub,3,open,resting,swamp,
31,11/26/1987,950,Fond du Lac,south,chest,minor,sp,victim in line of fire,,20,shotgun,unknwn,,,cloudy,level,,8,,no,,m,,12 gauge,40,810,pri,2,,driver,field,
32,11/26/1987,1020,Trempealeau,centrl,arm,major,si,shooter stumbled and fell,47,47,rifle,bolt,,,clear,level,20,20,no,no,m,m,Danzig,8mm,40,3,pri,3,open,stander,field,
33,11/26/1987,1044,Pierce,centrl,leg,major,sp,victim in line of fire,29,17,shotgun,sauto,,,cloudy,rolling,16,5,no,yes,m,m,Remington,12 gauge,35,555,pri,3,bead,stander,field,
34,11/26/1987,1059,Pierce,centrl,butt,major,sp,unloading firearm,15,16,shotgun,sauto,,,cloudy,level,4,3,yes,yes,m,m,Weatherby,12 gauge,33,10,pri,2,bead,resting,woods,
35,11/26/1987,1130,Taylor,north,leg,major,sp,victim out of sight of shooter,24,62,rifle,lever,,,cloudy,level,12,50,no,no,m,m,Winchester,30-30,40,185,pub,2,open,tree stand,woods,
36,11/26/1987,1145,Shawano,centrl,leg,major,si,careless handling-tree involvd,15,15,shotgun,break,,,clear,rolling,1,1,no,no,m,m,Stevens,20 gauge,35,3,pri,3,bead,tree stand,woods,
37,11/26/1987,1627,Langlade,north,hand,minor,,bullet struck vehicle,,33,rifle,unknwn,,,partly cldy,swamp,,,,no,,f,,,37,,pub,2,,in vehicle,road,
38,11/26/1987,1600,Pepin,centrl,head,major,sp,ricochet-bullet thru deer,15,17,shotgun,slide,,,cloudy,steep hill,4,4,yes,yes,m,m,Mossberg,12 gauge,36,250,pri,2,bead,walker,woods,
39,11/27/1987,950,Price,north,head,fatal,si,firearm fell-tree involved,12,12,rifle,lever,,,cloudy,rolling,2,2,yes,yes,m,m,Winchester,30-30,36,9,pri,1,open,tree stand,woods,
40,11/27/1987,1215,Taylor,north,chest,fatal,sp,victim in line of fire,37,24,rifle,sauto,,,cloudy,rolling,22,12,no,yes,m,m,Remington,30-06,35,240,pub,3,scope,driver,woods,
41,11/27/1987,1430,Sheboygan,south,chest,minor,sp,victim in line of fire,37,11,shotgun,sauto,,,unknown,swamp,20,0,yes,no,m,m,Remington,20 gauge,42,250,pri,2,open,,swamp,
42,11/27/1987,1445,Vilas,north,chest,major,sp,loaded firearm in vehicle,27,51,rifle,lever,,,cloudy,level,15,35,no,no,m,m,Marlin,30-30,35,8,pri,2,scope,at vehicle,woods,
43,11/27/1987,1500,Jackson,centrl,thigh,minor,sp,victim out of sight of shooter,18,62,shotgun,unknwn,,,cloudy,rolling,1,41,no,no,f,m,,20 gauge,34,1050,pri,2,,stander,,
44,11/29/1987,1500,Langlade,north,thigh,major,sp,loaded firearm in vehicle,17,46,rifle,bolt,,,cloudy,level,2,20,no,no,m,m,Ruger,308,40,3,pub,,scope,in vehicle,road,yes
45,11/29/1987,1615,Sauk,south,thigh,major,sp,careless handling-thick gloves,25,29,rifle,lever,,,cloudy,level,2,13,no,no,f,m,Winchester,30-30,33,10,pub,3,open,stander,road,yes
,11/20/1988,915,Manitowoc,centrl,head,minor,si,defective gun-barrel exploded,37,37,shotgun,slide,,,cloudy,rolling,25,25,no,no,m,m,Mossberg,12 gauge,30,3,pri,2,open,driver,woods,
1,11/19/1994,610,Chippewa,centrl,neck,fatal,,victim mistaken for deer,15,47,shotgun,slide,,,cloudy,rolling,2,,yes,,m,m,Coast to Cost,12 gauge,35,53,pri,3,bead,walking,trail,
2,11/19/1994,615,Buffalo,centrl,shuldr,major,sp,victim mistaken for deer,42,42,shotgun,sauto,,,partly cldy,rolling,30,17,no,no,m,m,Browning,20 gauge,28,300,pri,3,open,walking in,field,
3,11/19/1994,1100,Outagamie,centrl,thigh,minor,sp,victim out of sight of shooter,30,26,shotgun,bolt,,,clear,swamp,14,10,yes,yes,m,m,Mossberg,20 gauge,35,321,pri,2,bead,stander,woods,
4,11/19/1994,1115,Marathon,centrl,leg,major,,victim mistaken for deer,36,58,rifle,sauto,,,partly cldy,rolling,24,46,yes,no,m,m,,30-06,40,52,pri,3,open,stander,woods,
5,11/19/1994,1145,Calumet,centrl,abdomn,major,sp,victim in line of fire,34,26,shotgun,slide,,,clear,level,,12,,yes,m,m,Remington,12 gauge,45,570,pub,2,bead,stander,field,
6,11/19/1994,1300,Green Lake,south,chest,fatal,sp,victim in line of fire,32,33,shotgun,slide,,,cloudy,level,15,16,no,no,m,m,Mossberg,12 gauge,48,210,pri,1,bead,stander,corn,
7,11/19/1994,1315,Waupaca,centrl,foot,minor,si,careless handling-gloves,14,14,shotgun,break,,,unknown,level,,,yes,yes,m,m,New England,20 gauge,,3,pri,3,open,stander,woods,
8,11/19/1994,1400,Washburn,north,abdomn,fatal,sp,victim in line of fire,17,21,rifle,sauto,,,clear,level,3,5,no,no,m,m,Remington,30-06,35,360,pri,1,scope,driver,woods,
9,11/19/1994,1530,Iowa,south,arm,major,sp,loaded gun in vehicle,44,22,rifle,bolt,,,cloudy,level,27,1,no,yes,m,m,Remington,30-06,45,3,pri,2,scope,in vehicle,field,
10,11/20/1994,603,Adams,south,chest,fatal,sp,shooter stumbled and fell,21,54,rifle,lever,,,cloudy,level,8,40,yes,no,m,m,Marlin,30-30,30,10,pri,3,scope,walking,field,
11,11/20/1994,945,Bayfield,north,arm,minor,,victim out of sight of shooter,,34,unknown,unknwn,,,clear,level,,22,,no,,m,,,40,300,pri,1,,driver,woods,
12,11/20/1994,1000,Buffalo,centrl,stomch,major,sp,victim in line of fire,31,48,shotgun,slide,,,cloudy,steep hill,,20,no,no,m,m,Remington,12 gauge,45,210,pri,3,open,driver,woods,
13,11/20/1994,1300,Waupaca,centrl,leg,major,sp,victim in line of fire,27,25,shotgun,slide,,,cloudy,rolling,15,,yes,yes,m,m,Remington,12 gauge,45,180,pri,2,open,stander,field,
14,11/20/1994,1310,Chippewa,centrl,toe,major,si,careless handling-gun on lab,15,15,rifle,lever,,,clear,level,3,3,yes,yes,m,m,Marlin,44,33,3,pri,3,open,sitting,field,
15,11/20/1994,1400,Buffalo,centrl,foot,minor,sp,ricochet,39,44,shotgun,slide,,,cloudy,level,20,34,yes,no,m,m,Remington,12 gauge,,400,pub,3,bead,driver,woods,yes
16,11/21/1994,1210,Chippewa,centrl,hand,major,sp,victim in line of fire,,41,rifle,unknwn,,,cloudy,level,,,,no,,m,,,,300,pri,2,,stander,field,
17,12/22/1994,1100,Jackson,centrl,thigh,minor,si,careless handling-strange gun,25,25,pistol,,,,clear,level,11,11,yes,yes,m,m,,22,35,3,pri,2,open,resting,woods,
18,11/22/1994,1200,Sheboygan,south,head,fatal,sp,victim in line of fire,59,31,shotgun,sauto,,,clear,level,47,17,no,yes,m,m,Browning,12 gauge,31,270,pri,2,scope,driver,corn,
19,11/22/1994,1415,Dane,south,ankle,major,si,"firearm fell, insecure rest",58,58,shotgun,slide,,,clear,rolling,46,46,no,no,m,m,Remington,12 gauge,,3,pub,3,bead,tree stand,woods,
20,11/22/1994,1630,Sauk,south,thigh,minor,si,loaded firearm in vehicle,24,24,pistol,,,,clear,level,12,12,yes,yes,m,m,Smith&Wesson,44 mag,40,3,pri,2,open,in vehicle,road,
21,11/24/1994,920,Columbia,south,leg,major,sp,victim out of sight of shooter,17,43,rifle,sauto,,,clear,rolling,4,20,yes,no,m,m,Browning,7mm,48,300,pri,2,scope,,field,
22,11/25/1994,732,Columbia,south,head,minor,,victim out of sight of shooter,42,46,rifle,bolt,,,clear,rolling,25,30,no,no,m,m,Browning,30-06,,300,pri,3,scope,at vehicle,field,
23,11/25/1994,1145,Taylor,north,leg,major,sp,victim out of sight of shooter,30,43,rifle,bolt,,,clear,level,17,30,yes,no,m,m,Ruger,300,40,1320,pri,2,scope,,field,
24,11/25/1994,1600,Marathon,centrl,leg,major,sp,loaded firearm in vehicle,34,42,rifle,sauto,,,clear,level,21,10,yes,no,m,f,Remington,30-06,30,3,pri,2,,in vehicle,field,
25,11/25/1994,1640,Rock,south,chest,fatal,sp,victim in line of fire-dark,44,41,shotgun,sauto,,,clear,rolling,5,29,no,no,f,m,Browning,20 gauge,40,165,pri,3,bead,walking,brush,
26,11/26/1994,915,Chippewa,centrl,leg,major,,victim out of sight of shooter,38,58,rifle,slide,,,partly cldy,level,20,50,yes,no,m,m,Remington,30-06,25,1730,pri,2,scope,stander,field,
27,11/26/1994,1615,Jackson,centrl,leg,major,sp,shooter stumbled and fell,16,20,rifle,lever,,,partly cldy,level,2,2,no,no,m,m,Winchester,30-30,35,20,pub,2,open,walking,woods,
28,11/27/1994,1415,Green,south,foot,minor,sp,ricochet-tree involved,15,33,shotgun,slide,,,cloudy,marsh,3,1,yes,no,m,m,Remington,20 gauge,40,60,pri,2,bead,driver,woods,yes
