CASE,DATE,TIME,COUNTY,AREA,WOUND,INJURY,TYPE,CAUSE,SAGE,VAGE,FIREARM,FACTION,ALCOHOL,ALCOLEV,WEATHER,TOPOGRO,SEXPER,VEXPER,SGRADUATE,VGRADUATE,SSEX,VSEX,GUNBRND,GUNGUAGE,TEMP,MUZDIS,LAND,VORANGE,GUNSIGHT,VACTIVTY,LOCATION,PRECIP
46,11/23/1991,1330,Dunn,centrl,toe,minor,si,shooter stumbled and fell,31,31,shotgun,slide,,,cloudy,level,19,19,yes,yes,m,m,Winchester,12 gauge,26,3,pri,3,scope,at vehicle,field,yes
47,11/23/1991,1330,Forest,north,chest,major,si,loading firearm-gloves,15,15,rifle,lever,,,cloudy,level,2,2,yes,yes,m,m,Winchester,30-30,27,3,pub,3,open,at vehicle,road,yes
48,11/24/1991,630,Manitowoc,centrl,foot,major,si,careless handling-tree involvd,40,40,shotgun,slide,,,cloudy,swamp,15,15,no,no,m,m,Ithaca,20 gauge,28,3,pri,3,scope,tree stand,woods,yes
49,11/24/1991,1225,Polk,north,hip,major,,victim out of sight of shooter,,28,rifle,,,,clear,rolling,0,14,,no,,m,,,13,1724,pri,2,,at vehicle,field,
50,11/24/1991,1230,Forest,north,leg,major,sp,ricochet-bullet thru deer,42,34,rifle,slide,,,partly cldy,level,30,20,yes,no,m,m,Savage,30-30,20,225,pri,3,scope,driver,woods,
51,11/24/1991,1230,Jackson,centrl,abdomn,major,si,careless handling-tree involvd,55,55,rifle,sauto,,,clear,rolling,10,10,no,no,m,m,Remington,30-06,25,3,pri,2,scope,hang gun,woods,
52,11/24/1991,1330,Chippewa,centrl,chest,major,si,"careless handling-gloves, tree",27,27,rifle,lever,,,clear,swamp,15,15,no,no,f,f,Winchester,30-30,17,3,pri,2,open,tree stand,woods,
53,11/24/1991,1400,Bayfield,north,leg,major,si,unloading firearm,27,27,pistol,break,,,cloudy,level,13,13,no,no,m,m,Center Arms,45,30,3,pub,2,open,at vehicle,rr row,
54,11/24/1991,1520,Marinette,north,arm,major,si,careless handling-tree involvd,44,44,rifle,bolt,,,cloudy,level,15,15,no,no,m,m,Enfield,303,32,10,pri,3,open,tree stand,woods,yes
55,11/24/1991,1615,Juneau,south,toe,major,si,unloading firearm,15,15,rifle,lever,,,clear,rolling,3,3,yes,yes,m,m,Winchester,30-30,30,3,pri,2,open,at vehicle,road,
56,11/25/1991,1245,Oconto,north,back,major,sp,careless handling-loaded pisto,38,25,pistol,,yes,,clear,level,18,0,,,m,m,Smith&Wesson,357,20,3,pub,0,open,in vehicle,road,
57,11/25/1991,1015,Jackson,centrl,chest,major,,victim out of sight of shooter,29,42,rifle,slide,,,partly cldy,level,17,26,no,yes,m,m,Savage,30-30,30,360,,2,scope,in vehicle,woods,
58,11/26/1991,1300,Racine,south,face,minor,si,defective firearm,18,18,shotgun,sauto,,,cloudy,level,5,5,yes,yes,m,m,Smith&Wesson,12 gauge,25,3,pub,3,bead,,field,
59,11/26/1991,1630,Oconto,north,finger,major,si,loaded firearm in vehicle,25,25,shotgun,break,,,cloudy,level,1,1,no,no,m,m,Sears,16 gauge,,3,pub,3,bead,in vehicle,road,
60,11/27/1991,1100,Burnett,north,head,fatal,sp,careless handling-finger on tr,13,10,rifle,lever,,,cloudy,level,2,0,yes,no,m,m,Winchester,32,20,358,pub,2,open,stander,road,
61,11/27/1991,1230,Monroe,south,hand,minor,si,careless handling-gun on grund,21,21,rifle,lever,,,clear,level,1,1,no,no,m,m,Savage,250,33,3,pub,3,open,sitting,woods,
62,11/27/1991,1330,Barron,north,shuldr,minor,sp,ricochet-bullet thru deer,41,32,rifle,slide,,,cloudy,steep hill,29,20,yes,yes,m,m,Remington,270,25,360,pri,3,scope,driver,woods,
63,11/28/1991,830,Monroe,south,eye,major,si,defective firearm,25,25,rifle,bolt,,,cloudy,rolling,9,9,yes,yes,m,m,Weatherby,257,29,3,pri,3,scope,stander,field,
64,11/29/1991,1000,Price,north,head,major,sp,victim mistaken for game,18,6,rifle,lever,,,cloudy,rolling,5,0,yes,no,m,m,Marlin,30-30,27,404,pri,2,scope,driver,woods,
65,11/29/1991,1400,Langlade,north,toe,major,si,shooter stumbled and fell,21,21,rifle,lever,,,partly cldy,swamp,8,8,yes,yes,m,m,Winchester,30-30,,3,pri,2,open,driver,woods,yes
66,11/29/1991,1615,Juneau,south,chest,fatal,sp,victim in line of fire,27,26,rifle,lever,,,cloudy,rolling,15,9,yes,yes,m,m,Marlin,30-06,,214,pri,1,open,driver,woods,yes
67,11/30/1991,1400,Jackson,centrl,foot,major,si,careless handling-gun at foot,15,15,rifle,lever,,,partly cldy,level,1,1,yes,yes,m,m,Winchester,30-30,20,3,pub,2,open,sitting,woods,
68,11/30/1991,1430,Wood,centrl,arm,major,,victim in line of fire-not hnt,63,20,rifle,slide,,,clear,rolling,45,5,no,no,m,m,Remington,30-06,30,151,pub,0,open,at vehicle,woods,
69,11/30/1991,1430,Oneida,north,leg,major,sp,victim mistaken for game,30,31,rifle,bolt,,,cloudy,level,18,19,yes,no,m,m,Enfield,303,18,100,pri,2,open,driver,woods,
70,12/5/1991,1430,Barron,north,foot,major,si,careless handling-firearm fell,32,32,rifle,muzzle,,,clear,level,20,20,yes,yes,m,m,Thompson,50,20,3,pri,2,open,walking,road,
71,12/7/1991,1115,Clark,centrl,thigh,major,sp,victim mistaken for deer,38,39,rifle,lever,,,clear,rolling,13,25,yes,no,m,m,Winchester,348,34,400,pub,2,open,stander,swamp,
1,11/17/1990,605,Price,north,chest,major,sp,victim mistaken for deer-dakns,19,27,rifle,sauto,,,clear,rolling,7,10,yes,yes,m,m,Remington,308,45,220,pri,3,scope,,woods,
2,11/17/1990,615,Fond du Lac,south,leg,major,si,firearm fell-tree involved,35,35,shotgun,slide,,,clear,level,23,23,no,no,m,m,Remington,12 gauge,33,12,pri,2,bead,tree stand,woods,
4,11/17/1990,730,Iowa,south,thigh,major,sp,ricochet-scrub oak,31,29,rifle,bolt,,,clear,level,20,11,no,no,m,m,Savage,30-30,30,330,pub,3,scope,driver,woods,
5,11/17/1990,1000,Taylor,centrl,foot,major,sp,victim out of sight of shooter,14,42,rifle,bolt,,,partly cldy,rolling,2,22,yes,no,m,m,Mohawk,6mm,40,1425,pri,2,scope,stander,road,
6,11/17/1990,1030,Trempealeau,centrl,abdomn,major,sp,Loading firearm,35,41,shotgun,slide,,,clear,rolling,0,0,no,no,m,m,Remington,12 gauge,42,4,pri,2,open,walking,road,
7,11/17/1990,1245,Marathon,centrl,finger,major,si,defective firearm,20,20,rifle,bolt,yes,,clear,level,8,8,yes,yes,m,m,Herters,270,50,3,pri,3,scope,target prc,field,
8,11/17/1990,1250,Outagamie,centrl,knee,major,sp,victim in line of fire,26,41,shotgun,sauto,,,clear,level,1,30,no,yes,m,m,Charles-Daily,12 gauge,,423,pri,3,bead,driver,corn,
9,11/17/1990,1435,Marathon,centrl,abdomn,major,,illegal shooting from vehicle,29,21,rifle,sauto,,,clear,level,0,0,no,no,m,m,,30-06,53,520,pri,,,stander,field,
10,11/17/1990,1515,Shawano,centrl,toe,minor,si,careless handling-fingr on trg,14,14,shotgun,break,,,clear,knoll,2,2,yes,yes,m,m,Stevens,20 gauge,40,3,pri,1,bead,stander,woods,
11,11/17/1990,1530,Grant,south,toe,major,si,loading firearm,50,50,rifle,lever,,,partly cldy,level,35,35,no,no,m,m,Marlin,44 mag,45,3,pri,2,open,walking,field,
12,11/17/1990,1550,Polk,north,toe,major,sp,loading firearm,12,15,rifle,lever,,,clear,level,1,1,yes,no,m,m,Winchester,32 special,40,12,pri,2,open,walking,field,
13,11/17/1990,1610,Winnebago,south,abdomn,minor,,victim in line of fire,30,86,shotgun,slide,,,clear,rolling,15,0,no,no,m,f,JC Higgins,12 gauge,42,300,pri,0,open,in yard,field,
14,11/18/1990,612,Chippewa,centrl,knee,major,sp,loading firearm,44,16,rifle,sauto,,,clear,level,27,4,no,yes,m,m,Remington,30-06,30,40,pri,3,scope,walking,road,
15,11/18/1990,710,Marinette,north,shuldr,major,,victim out of sight of shooter,13,15,rifle,lever,,,clear,swamp,2,3,yes,yes,m,m,Winchester,30-30,45,604,pub,2,open,,woods,
16,11/18/1990,745,Oconto,centrl,neck,major,,victim in line of fire,30,41,rifle,lever,,,clear,rolling,12,23,no,no,m,m,Marlin,30-30,40,170,pri,3,scope,walking,woods,
17,11/18/1990,745,Clark,centrl,toe,major,si,careless handling-glove invlvd,13,13,shotgun,slide,,,partly cldy,level,2,2,yes,yes,m,m,Stevens,20 gauge,40,3,pub,2,bead,sitting,woods,
18,11/18/1990,930,Dunn,centrl,arm,minor,sp,victim out of sight of shooter,27,33,shotgun,slide,,,clear,rolling,14,21,yes,yes,m,m,Coast to Cost,20 gauge,52,924,pri,2,bead,stander,field,
19,11/18/1990,930,Monroe,south,leg,major,si,shooter stumbled and fell,36,36,pistol,,,,clear,swamp,23,23,yes,yes,m,m,Interarms,44 mag,45,3,pri,3,open,stalking,marsh,
20,11/18/1990,945,Trempealeau,centrl,foot,major,si,careless handling-wife involed,37,37,shotgun,slide,,,,level,20,20,no,no,m,m,Springfield,12 gauge,,3,pri,3,open,sitting,woods,
21,11/18/1990,1130,Douglas,north,leg,major,sp,victim out of sight of shooter,33,51,rifle,sauto,,,clear,level,16,33,yes,no,m,m,Remington,308,48,630,pri,3,scope,stander,woods,
22,11/18/1990,1630,Polk,north,arm,major,si,defective firearm,25,25,rifle,slide,yes,,clear,steep hill,12,12,yes,yes,m,m,Remington,30-06,50,3,pri,3,scope,resting,woods,
23,11/19/1990,645,Winnebago,south,hand,major,,victim out of sight of shooter,55,28,shotgun,sauto,,,clear,rolling,40,16,no,no,m,m,Remington,12 gauge,40,1620,pub,3,scope,standing,field,
24,11/19/1990,1600,Monroe,south,leg,major,sp,victim in line of fire,37,71,rifle,sauto,,,cloudy,level,0,0,,,m,m,Remington,30-06,,225,pub,2,scope,stander,public,
25,11/20/1990,1630,Jefferson,south,chest,fatal,si,careless handling-tree involv,19,19,shotgun,slide,,,cloudy,rolling,0,0,no,no,m,m,Remington,12 gauge,53,3,pri,1,bead,tree stand,woods,
26,11/21/1990,1545,Monroe,south,hand,major,si,shooter stumbled and fell,20,20,rifle,bolt,,,cloudy,swamp,12,12,yes,yes,m,m,,7mm,45,3,pri,3,scope,stander,marsh,yes
27,11/22/1990,640,Iowa,south,back,fatal,sp,victim in line of fire,55,74,rifle,bolt,,,clear,level,40,60,no,no,m,m,Savage,22.250,,523,pri,3,scope,walking,valley,
28,11/22/1990,715,Douglas,north,back,major,sp,victim in line of fire,18,14,rifle,bolt,,,clear,level,6,2,yes,yes,m,m,Ruger,270,30,460,pri,3,scope,stander,woods,
29,11/22/1990,830,Oneida,north,back,minor,,victim out of sight of shooter,,46,unknown,unknwn,,,cloudy,rolling,0,26,,no,,m,,,,,pub,3,,driver,woods,
30,11/22/1990,1030,Eau Claire,centrl,leg,minor,,victim out of sight of shooter,,24,unknown,unknwn,,,partly cldy,level,0,7,,no,,m,,,40,300,pri,3,,driver,woods,
31,11/22/1990,1259,Vernon,south,foot,major,si,loaded firearm in vehicle,19,19,shotgun,slide,,,cloudy,level,7,7,yes,yes,m,m,High Standard,20 gauge,53,3,pri,,bead,in vehicle,road,
32,11/23/1990,1030,Sheboygan,south,thigh,major,sp,careless handling-ricochet,66,39,shotgun,slide,,,clear,rolling,50,27,no,no,m,m,Winchester,12 gauge,,367,pri,2,bead,,field,
33,11/23/1990,1430,Dunn,centrl,hand,major,sp,victim out of sight of shooter,27,34,shotgun,bolt,,,cloudy,level,12,17,no,no,m,m,JC Higgins,12 gauge,32,81,pri,3,bead,driver,woods,
34,11/23/1990,1600,Jackson,centrl,arm,major,sp,victim in line of fire,20,20,rifle,sauto,,,clear,rolling,9,8,yes,yes,m,m,Browning,308,35,225,pub,2,open,stander,woods,
35,11/24/1990,1030,Oneida,north,arm,major,si,loaded firearm in vehicle,52,52,pistol,,,,partly cldy,level,40,40,no,no,m,m,Dan Wesson,357,32,3,pri,3,scope,in vehicle,road,
36,11/24/1990,1300,Shawano,centrl,chest,fatal,sp,victim in line of fire,43,18,shotgun,sauto,,,cloudy,level,27,6,no,no,m,m,Remington,20 gauge,34,300,pri,1,scope,driver,woods,
37,11/24/1990,1515,Dane,south,leg,major,sp,victim in line of fire,34,24,shotgun,sauto,,,partly cldy,rolling,20,12,no,yes,m,m,Ithaca,12 gauge,40,600,pri,2,bead,driver,field,
38,11/25/1990,930,Green Lake,south,arm,major,sp,careless handling-gun on shldr,14,13,shotgun,sauto,,,clear,level,3,1,yes,no,m,m,Winchester,12 gauge,28,10,pri,2,bead,stalking,field,
39,11/25/1990,1430,Douglas,north,toe,major,si,careless handling-gun on foot,13,13,rifle,bolt,,,clear,rolling,2,2,yes,yes,m,m,Ruger,308,20,3,pri,3,scope,stander,woods,
40,11/25/1990,1715,Lincoln,north,thigh,major,si,careless handling-tree involvd,22,22,rifle,lever,,,clear,rolling,13,13,yes,yes,m,m,Winchester,30-30,24,3,pri,2,scope,tree stand,woods,
41,11/29/1990,1230,Rusk,north,arm,major,sp,ricochet,59,45,rifle,sauto,,,clear,rolling,47,30,no,no,m,m,Remington,270,30,738,pri,3,bead,stander,woods,
42,12/1/1990,1330,Outagamie,centrl,hand,major,sp,victim out of sight of shooter,40,24,shotgun,slide,,,clear,level,28,13,no,no,m,m,Ithaca,20 gauge,40,245,pri,2,open,stander,field,
43,12/1/1990,1400,Kewaunee,centrl,hand,major,sp,victim in line of fire,20,31,shotgun,dbarrl,,,clear,level,6,15,no,no,m,m,Stevens,20 gauge,40,325,pri,2,bead,driver,brush,
44,12/2/1990,725,Chippewa,centrl,hand,major,si,careless handling-hammer back,19,19,rifle,lever,,,clear,rolling,6,6,,,m,m,Winchester,30-30,25,1,pri,2,open,stalking,woods,
1,11/18/1989,630,Manitowoc,south,toe,minor,si,careless handling-tree involvd,33,33,shotgun,slide,,,cloudy,rolling,4,4,yes,yes,m,m,Remington,12 gauge,10,3,pri,2,open,tree stand,woods,
2,11/18/1989,1030,Waushara,centrl,shuldr,major,si,careless handling-dropped gun,15,15,rifle,lever,,,clear,level,3,3,yes,yes,m,m,Winchester,30-30,20,3,pri,3,bead,walking,woods,
3,11/18/1989,1120,Douglas,north,chest,fatal,,victim mistaken for deer,23,25,rifle,lever,,,clear,level,6,0,yes,yes,m,m,Winchester,30-30,10,350,pri,2,scope,driver,woods,
4,11/18/1989,1130,Douglas,north,arm,major,sp,careless handling-raising gun,18,23,rifle,sauto,,,clear,level,5,11,no,yes,m,m,Remington,30-06,20,3,pub,3,scope,walking,woods,
5,11/18/1989,1330,Clark,centrl,foot,major,si,shooter stumbled and fell,14,14,rifle,lever,,,clear,rolling,2,2,yes,yes,m,m,Winchester,30-30,15,3,pri,2,open,driver,woods,
6,11/18/1989,1500,Burnett,north,foot,major,si,careless handling-muzle on fot,15,15,rifle,slide,,,clear,level,2,2,yes,yes,f,f,Remington,6mm,15,3,pub,3,scope,stander,,
7,11/18/1989,1530,Pepin,centrl,leg,major,sp,victim in line of fire,29,21,shotgun,slide,,,cloudy,steep hill,13,6,no,no,m,m,Remington,12 gauge,23,264,pri,3,open,driver,woods,
8,11/18/1989,1600,LaCrosse,south,head,major,sp,victim in line of fire,16,35,shotgun,slide,,,clear,level,4,23,yes,no,m,m,Remington,12 gauge,,270,pri,2,bead,driver,woods,
9,11/19/1989,630,Door,north,foot,major,sp,loading firearm,44,57,rifle,lever,,,cloudy,rolling,31,45,no,no,m,m,Sears,30-30,25,108,pri,2,open,befor hunt,woods,
10,11/19/1989,700,Vernon,south,shuldr,major,sp,loaded firearm in vehicle,30,24,rifle,sauto,,,clear,rolling,18,12,no,no,m,m,Remington,30-06,24,3,pri,3,open,in vehicle,field,
11,11/19/1989,700,Forest,north,foot,major,si,shooter stumbled and fell,19,19,rifle,lever,,,partly cldy,rolling,6,6,yes,yes,m,m,,,20,1,pub,3,open,walking,woods,
12,11/19/1989,730,Bayfield,north,leg,major,sp,victim in line of fire,17,35,rifle,lever,,,cloudy,level,4,10,yes,no,m,m,Marlin,30-30,15,273,pri,2,scope,driver,woods,
13,11/19/1989,845,Fond du lac,south,leg,major,sp,victim in line of fire,49,40,shotgun,sauto,,,clear,rolling,30,15,no,no,m,m,Remington,12 gauge,32,510,pri,3,scope,driver,woods,
14,11/19/1989,1015,LaCrosse,south,hand,minor,si,defective firearm-gun blew up,18,18,shotgun,sauto,,,clear,unknwn,1,1,no,no,f,f,Winchester,12 gauge,25,1,pri,3,bead,stander,field,
15,11/19/1989,1015,Bayfield,north,thigh,minor,sp,richochet,22,29,rifle,sauto,,,clear,level,6,8,yes,yes,m,m,Remington,30-06,40,225,pub,3,scope,stander,woods,
16,11/19/1989,1030,Calumet,centrl,back,major,si,trigger caught on object,14,14,shotgun,slide,,,cloudy,level,2,2,yes,yes,m,m,Remington,12 gauge,40,3,pri,2,bead,walking,woods,
17,11/19/1989,1030,Pierce,centrl,arm,major,sp,richochet-corn field,22,54,shotgun,slide,,,partly cldy,rolling,10,41,yes,no,m,m,Ithica,12 gauge,35,304,pri,3,open,stander,field,
18,11/19/1989,1100,Grant,south,hip,minor,,bullet passed thru home,,52,unknown,unknwn,,,clear,rolling,0,0,,no,,f,unknwn,unknwn,30,300,pri,0,,in home,home,
19,11/19/1989,1115,Forest,north,head,fatal,sp,victim in line of fire,27,34,rifle,bolt,,,cloudy,rolling,17,24,no,no,m,m,Marlin,22 cal mag,35,225,pub,2,scope,stander,woods,
20,11/19/1989,1330,Chippewa,centrl,face,minor,si,careless handling-setting down,65,65,rifle,sauto,,,partly cldy,level,50,50,no,no,m,m,Remington,30-06,40,10,pri,3,scope,stalking,woods,
21,11/19/1989,1410,Dane,south,neck,major,sp,victim in line of fire,28,14,shotgun,slide,,,clear,rolling,15,3,no,yes,m,m,Smith&Wesson,20 gauge,,1032,pri,2,bead,stander,field,
22,11/19/1989,1430,Dodge,south,groin,major,sp,ricochet-bullet thru deer,19,35,shotgun,sauto,,,clear,level,8,26,yes,no,m,m,Remington,12 gauge,33,100,pri,2,open,driver,corn,
23,11/19/1989,1455,Barron,north,leg,major,sp,loading firearm,61,26,rifle,lever,,,clear,level,45,1,no,no,m,f,Glenfield,30-30,44,10,pri,3,open,at vehicle,field,
24,11/19/1989,1630,Fond du lac,south,abdomn,minor,sp,"nonhunter watching, hit by slg",,13,shotgun,unknwn,,,clear,level,0,1,,yes,,m,,,32,300,pri,3,,at vehicle,road,
25,11/19/1989,1630,Polk,north,leg,major,sp,victim in line of fire,39,29,rifle,bolt,,,clear,level,20,29,no,yes,m,m,Remington,270,40,90,pri,2,scope,driver,corn,
26,11/20/1989,1000,Douglas,north,arm,minor,,bullet struck windshield,,60,unknown,unknwn,,,clear,level,0,40,,no,,m,,,35,300,pub,3,,in vehicle,road,
26a,11/20/1989,1000,Douglas,north,arm,minor,,bullet struck windshield,,62,unknown,unknwn,,,clear,level,0,0,,,,,,,35,300,pub,,,in vehicle,road,
27,11/20/1989,1500,Washburn,north,thigh,major,sp,victim out of sight of shooter,19,60,rifle,slide,,,clear,level,7,40,yes,no,m,m,Remington,30-06,25,480,pri,2,,driver,woods,
28,11/21/1989,920,Ashland,north,leg,major,sp,victim mistaken for deer,37,29,rifle,sauto,,,cloudy,rolling,18,16,no,yes,m,m,Browning,7mm,20,345,pub,1,scope,driver,woods,
29,11/21/1989,1300,Oconto,centrl,thigh,major,sp,victim in line of fire,42,19,rifle,lever,,,clear,level,30,7,no,no,m,m,Glenfield,30-30,20,414,pri,3,open,driver,woods,
30,11/21/1989,1430,Washburn,north,arm,major,sp,victim in line of fire,38,17,rifle,bolt,,,,rolling,15,6,yes,no,m,m,Winchester,308,2,300,pri,2,scope,stander,field,
31,11/22/1989,720,Marathon,centrl,head,major,,victim in line of fire-illegal,24,30,rifle,bolt,,,clear,level,10,17,yes,no,m,m,Browning,300,11,2220,pri,3,scope,stander,field,
32,11/22/1989,1300,Wood,centrl,abdomn,major,sp,victim out of sight of shooter,21,42,rifle,slide,,,clear,swamp,8,30,no,yes,m,m,Remington,308,25,325,pri,2,scope,driver,woods,
33,11/23/1989,1130,Eau Claire,centrl,foot,major,si,careless handling-loaded in cs,39,39,shotgun,slide,,,clear,level,27,27,no,no,m,m,Remington,12 gauge,20,1,pri,3,bead,at vehicle,field,
34,11/25/1989,950,Washburn,north,chest,major,sp,victim out of sight of shooter,50,57,rifle,sauto,,,clear,level,36,35,no,no,m,m,Ruger,223,30,300,pub,3,scope,stander,woods,
35,11/25/1989,1300,Trempealeau,centrl,hand,minor,,victim out of sight of shooter,,21,rifle,unknwn,,,clear,swamp,0,10,,no,,m,,,,300,pri,2,,driver,stream,
36,11/26/1989,915,Juneau,south,arm,major,sp,victim mistaken for deer,23,33,rifle,sauto,,,partly cldy,swamp,12,16,no,no,m,m,Russian,7.62,15,300,pri,1,peep,driver,swamp,
37,11/26/1989,1100,Marathon,centrl,hand,major,si,unloading firearm-dropped it,17,17,rifle,lever,,,clear,level,3,3,yes,yes,m,m,Winchester,30,3,3,pri,2,open,resting,yard,
1,11/19/1988,730,Washburn,north,foot,minor,si,careless handling-casing loade,18,18,shotgun,slide,,,clear,level,3,3,yes,yes,m,m,Remington,12 gauge,30,3,pri,3,open,resting,resrvt,
2,11/19/1988,930,Vernon,south,head,minor,sp,victim in line of fire,17,21,rifle,lever,,,cloudy,rolling,2,5,no,no,m,m,Marlin,30-30,39,1425,pri,2,scope,driver,field,yes
3,11/19/1988,1145,Adams,south,toe,major,si,careless handling-tree involvd,14,14,rifle,lever,,,cloudy,rolling,2,2,yes,yes,m,m,Winchester,30-30,32,3,pri,3,scope,tree stand,woods,yes
4,11/19/1988,1145,Shawano,centrl,thigh,major,sp,victim out of sight of shooter,15,41,shotgun,slide,,,cloudy,level,4,25,yes,no,m,m,Remington,12 gauge,40,188,pri,3,open,returning,woods,yes
5,11/19/1988,1445,Columbia,south,arm,major,sp,unloading firearm-big gloves,17,25,rifle,bolt,,,partly cldy,level,5,13,yes,yes,m,m,Remington,270,35,11,pri,1,scope,at vehicle,road,yes
6,11/20/1988,1500,Clark,centrl,arm,minor,sp,victim in line of fire,17,22,rifle,lever,,,cloudy,level,4,7,no,no,m,m,Marlin,30-30,50,225,pri,2,open,driver,woods,yes
7,11/21/1988,1430,Washington,south,chest,major,sp,ricochet-bullet thru deer,24,43,shotgun,slide,,,partly cldy,rolling,10,30,no,no,m,m,Remington,12 gauge,44,210,pri,3,open,driver,woods,
8,11/21/1988,1529,Adams,south,thigh,major,si,careless handling-tree involvd,55,55,rifle,bolt,,,cloudy,rolling,35,35,yes,yes,m,m,Mauser,350,40,10,pri,2,peep,tree stand,woods,
9,11/21/1988,1530,Bayfield,north,leg,minor,sp,loaded firearm in vehicle,27,33,rifle,sauto,,,clear,level,5,10,no,,m,m,Remington,30-06,40,3,pri,2,scope,in vehicle,road,
10,11/22/1988,630,Monroe,south,hand,major,si,careless handling-tree involvd,39,39,rifle,bolt,,,clear,rolling,20,20,no,no,m,m,Browning,280,30,3,pri,2,scope,tree stand,woods,
11,11/22/1988,1000,Washburn,north,back,major,sp,loaded firearm in vehicle,46,14,rifle,lever,,,cloudy,level,25,1,no,yes,m,f,Savage,243,28,10,pri,2,scope,in vehicle,road,
12,11/23/1988,1300,Oneida,north,leg,minor,sp,ricochet,44,25,rifle,sauto,,,cloudy,swamp,28,10,ins,no,m,m,Browning,30-06,32,225,pub,2,open,stander,woods,
13,11/25/1988,600,Marinette,north,foot,major,si,careless handling-tree involvd,28,28,shotgun,sauto,,,cloudy,level,12,12,yes,yes,m,m,Browning,12 gauge,35,3,pri,2,open,tree stand,woods,
14,11/25/1988,1025,Green Lake,south,foot,major,si,careless handling-safety off,23,23,shotgun,slide,,,clear,level,10,10,no,no,m,m,Remington,12 gauge,42,3,pub,3,bead,driver,road,
15,11/25/1988,1230,Barron,north,head,fatal,,victim in car-stray bullet,,48,rifle,bolt,,,clear,rolling,0,0,,no,,m,Remington,7mm,30,1481,pri,0,scope,in car,road,
16,11/25/1988,1300,Washburn,north,leg,major,si,careless handling-gun in lap,16,16,rifle,bolt,,,cloudy,level,2,2,no,no,f,f,Remington,7mm,48,3,pub,3,scope,sitting,woods,
